Continent;Country;Capital
África;África do Sul;Pretória
África;Angola;Luanda
África;Argélia;Argel
África;Benim;Porto Novo
África;Botsuana ;Gaborone
África;Burkina Faso;Uagadugu
África;Burundi;Bujumbura
África;Camarões;Iaundê
África;Chade;N'Djamena
África;Congo;Brazzaville
África;Costa do Marfim;Yamoussoukro
África;Djibuti;Djibuti
África;Egito;Cairo
África;Eritréia;Asmará
África;Etiópia;Adis-Abeba
África;Gabão;Libreville
África;Gâmbia;Banjul
África;Gana;Acra
África;Guiné;Conacri
África;Guiné-Bissau;Bissau
África;Guiné Equatorial;Malabo
África;Lesoto;Maseru
África;Libéria;Monróvia
África;Líbia;Trípoli
África;Madagáscar;Antananarivo
África;Malawi;Lilongüe
África;Mali;Bamaco
África;Marrocos;Rabat
África;Maurício;Port Louis
África;Mauritânia;Nuakchott
África;Moçambique;Maputo
África;Namíbia;Windhoek
África;Níger ;Niamei
África;Nigéria;Abuja
África;Papua-Nova Guiné;Port Moresby
África;Quênia;Nairóbi
África;República Centro-Africana;Bangui
África;Ruanda;kigali
África;São Tomé e Príncipe;São Tomé
África;Seicheles;Vitória
África;Senegal;Dacar
África;Serra Leoa;Freetown
África;Somália;Mogadíscio
África;Suazilândia;Mbabane
África;Sudão;Cartum
África;Tanzânia;Dodoma
África;Tunísia;Túnis
África;Zâmbia;Lusaca
África;Zimbabué;Harare
América;Antígua e Barbuda;Saint John’s
América;Argentina;Buenos Aires
América;Bahamas;Nassau
América;Barbados;Bridgetown
América;Belize;Belmopan
América;Bolívia;Sucre
América;Brasil;Brasília
América;Canadá;Ottawa
América;Chile;Santiago
América;Colômbia;Bogotá
América;Costa Rica;San José
América;Cuba;Havana
América;Dominica;Roseau
América;El Salvador;San Salvador
América;Equador;Quito
América;Estados Unidos da América;Washington
América;Granada;Saint George
América;Guatemala;Cidade da Guatemala
América;Guiana;Georgetown
América;Haiti ;Porto Príncipe
América;Honduras ;Tegucigalpa
América;Jamaica;Kingston
América;Malaísia;Kuala Lumpur
América;México;Cidade do México
América;Nicarágua;Manágua
América;Panamá;Cidade do Panamá
América;Paraguai;Assunção
América;Peru;Lima
América;República Dominica;Santo Domingo
América;Santa Lúcia ;Castries
América;São Kitts e Nevis;Basseterre
América;São Vicente e Granadinas;Kingstown
América;Suriname;Paramaribo
América;Trinidad e Tobago;Port of Spain
América;Uruguai;Montevidéu
América;Venezuela;Caracas
Asia;Afeganistão;Cabul
Asia;Arábia Saudita;Riad
Asia;Bangladesh;Daca
Asia;Bahrein;Manama
Asia;Brunei;Bandar Seri Begauan
Asia;Butão;Tinfu
Asia;Cabo Verde ;Praia
Asia;Camboja ;Phnom Penh
Asia;Catar ;Doha
Asia;Cazaquistão;Astana
Asia;China;Pequim
Asia;Chipre;Nicósia
Asia;Cingapura;Cidade de Cingapura
Asia;Coréia do Norte;Pyongyang
Asia;Coréia do Sul;Seul
Asia;Emirados Árabes Unidos;Abu Dabi
Asia;Formosa;Taipé 
Asia;Iêmen ;Sana
Asia;Índia;Nova Délhi
Asia;Indonésia;Jakarta
Asia;Irã;Teerã
Asia;Iraque;Bagdá
Asia;Israel;Jerusalém
Asia;Japão;Tóquio
Asia;Jordânia;Amã
Asia;Kuweit ou Coveite;Cidade do Kuweit
Asia;Laos;Vientiane
Asia;Líbano;Beirute
Asia;Maldivas;Male
Asia;Mianmá (Birmânia);Yangon 
Asia;Mongólia ;Ulan Bator
Asia;Nepal;Katmandu
Asia;Omã;Mascate
Asia;Paquistão;Islamabad
Asia;Quirguistão ou Quirguízia;Bishek
Asia;Rússia;Moscou
Asia;Síria;Damasco
Asia;Sri Lanka;Colombo
Asia;Tadjiquistão ou Tajiquistão;Duchanbe
Asia;Tailândia;Bangcoc
Asia;Togo;Lomé
Asia;Turquimenistão;Ashgabat   
Asia;Turquia;Ancara
Asia;Usbequistão;Tashkent
Asia;Vietnã;Hanói
Europa;Albânia;Tirana
Europa;Alemanha;Berlim
Europa;Andorra;Andorra la Vella
Europa;Armênia;Ierevã
Europa;Áustria;Viena
Europa;Azerbaijão;Baku
Europa;Belarus (Bielo-Rússia ou Bielorrúsia);Minsk
Europa;Bélgica;Bruxelas
Europa;Bósnia-Hezergovina;Sarajevo
Europa;Bulgária;Sófia
Europa;Croácia;Zagreb
Europa;Dinamarca;Copenhague
Europa;Eslováquia ;Bratislava
Europa;Eslovênia;Lubliana
Europa;Espanha;Madri
Europa;Estônia;Tallinn
Europa;Filipinas;Manila
Europa;Finlândia;Helsinque
Europa;França;Paris
Europa;Geórgia;T'bilisi
Europa;Grécia;Atenas
Europa;Holanda;Amsterdã
Europa;Hungria;Budapeste
Europa;Irlanda;Dublin
Europa;Islândia;Reykjavik
Europa;Itália;Roma
Europa;Iugoslávia;Belgrado
Europa;Letônia;Riga
Europa;Liechtenstein;Vaduz
Europa;Lituânia;Vilnas
Europa;Luxemburgo;Luxemburgo
Europa;Macedônia;Skopje
Europa;Malta;Valeta
Europa;Moldávia;Chisinau
Europa;Mônaco;Cidade de Mônaco
Europa;Noruega;Oslo
Europa;Polônia;Varsóvia
Europa;Portugal;Lisboa
Europa;Reino Unido;Londres
Europa;República Tcheca;Praga
Europa;Romênia;Bucareste
Europa;San Marino;San Marino
Europa;Suécia;Estocolmo
Europa;Suíça;Berna
Europa;Ucrânia;Kiev
Europa;Vaticano;Cidade do Vaticano
Oceania;Austrália;Camberra
Oceania;Fiji ;Suva
Oceania;Ilhas Comores;Moroni
Oceania;Marshall;Majuro
Oceania;Ilhas Salomão;Honiara
Oceania;Micronésia;Palikir
Oceania;Nauru;Yaren
Oceania;Nova Zelândia;Wellington
Oceania;Palau;Koror
Oceania;Quiribati;Tarawa
Oceania;Samoa Ocidental;Apia
Oceania;Tonga;Nuku'alofa
Oceania;Tuvalu;Funafuti
Oceania;Vanuatu;Port-Vila
